Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
Miracle (Extended);Miracle (with Ellie Goulding) [Remixes];Calvin Harris;6/16/2023;GBARL2300301;2314;57151;92;28566
Jaldi Chhoda Ghare Bullet Se;Jaldi Chhoda Ghare Bullet Se;Vinay Pandey Sanu;03/10/23;ING642301152;1703;7288;3;10
Falling Angel;Falling Angel;HCTM;8/13/2022;SGB502232845;2942;72997;79;42003
Malohat;Malohat;Xamdam Sobirov;4/20/2024;RUA1D2459522;406;75486;13;3242
Lahore;Kultural Inkursions;Guru Randhawa;7/27/2018;TCADS1892866;3496;77999;96;7682
Into the Unknown;New Horizons;ALPHA 9;1/13/2023;GBEWA2206731;948;78985;67;5674
Always This Same Old Song;Better Lucky Than Beautiful;Bingo Club;2/24/2023;FR9W12223053;2879;84198;27;527
A Bar Song (Tipsy);A Bar Song (Tipsy);Shaboozey;04/12/24;USUYG1541249;37;311928522;25766;180237463
Kya Hua;Blackout (Original Motion Picture Soundtrack);Vishal Mishra;5/31/2024;INP912410081;2497;96766;20;1453389
Panda Basi;Panda Basi - EP;Mvua;02/10/23;GX3Q92333626;52;104271;249;8585
BEBECITA;BEBECITA;Skolim;5/31/2024;FRX872472215;4042;115283;17;9351
BANZAI!;BANZAI!;Kazuo;12/24/2022;JPWP02202338;2769;118164;91;607
Rude Boy (Superbowl Klean);Rude Boy (Superbowl Klean) - Single;DJ San;2/21/2023;QZDA82340022;4127;121283;195;9168
Bura Na Mano Holi Hai;Bura Na Mano Holi Hai;Shaan;02/04/23;ING642301070;801;125047;6;44905
Problema;Problema;Carlos Agassi;9/27/2023;TCAHM2313718;2904;125395;32;2558
shipping;Follow Your Nature;great area;12/15/2022;UKKTQ2200011;3902;130895;259;4467
Cute;Cute;Aurel Surya Lie;8/29/2022;SGB502236207;564;142732;90;4986
Caramelo - Remix;Caramelo (Remix);Leoo Remix;10/01/20;QZNJV2032699;3733;144767;82;2477
Cari Mama Muda (Senorita Joven) - Original Mix;Cari Mama Muda (Senorita Joven);Carella;2/13/2021;ITH642025474;532;149072;53;14039
All Eyes on Me;All Eyes on Me - Single;Dj Belite;12/20/2022;TCAGR2239010;2401;155367;512;52259
Drained of Color;Drained of Color;Exhumed;8/30/2022;US2642250302;129;158627;635;18765
Veggie Dance - Remix;Veggie Dance (Remix) - Single;Gracie's Corner;5/31/2024;CH7819500531;4091;173242;19;378669
El Caballito;El Caballito - Single;FARIANA;06/07/24;QM6N22408548;994;184278;74;5010610
NINNIN JACK;DEPARTURE;IMP.;5/29/2024;JPY932300076;3927;207454;23;356969
Mahiya Ve Gal Sun Mahiya Vey;Mahiya Ve Gal Sun Mahiya Vey - Single;Nimra Mehra;9/29/2023;DGA0M2361023;219;209649;70;513
Drift Night;Drift Night;Alfianie;7/30/2022;SGB502231047;3967;218621;137;18188
Braten;Braten;Steps;12/22/2022;TCAGR2271048;4562;242231;390;6228
Bahagiaku Sederhana;Bahagiaku Sederhana;Jamik Jams;10/21/2021;SGB502102465;3895;271438;59;12313
Dear John;End of the World;Wild Child;3/31/2023;QMB622200356;273;271785;152;7172
A Mimir En El Chat;A Mimir En El Chat;Dejavu FF;4/16/2024;QM6MZ2472476;4382;288153;18;9453
bathroom floor;bathroom floor;Kids With Buns;10/07/22;NLC242100307;15;297185;277;24445
2Humpy is Back;2Humpy is Back;2Rare;04/05/24;USWB12401052;1861;299871;71;576253
Lose It;Lose It;Through Fire;2/14/2023;USYFZ2327704;4273;301362;311;3487
Dj Balada Boa X Pika Pika Kawenimeri;Dj Balada Boa X Pika Pika Kawenimeri;DJ USUP;03/02/22;SGB502208098;3762;302568;285;25137
2002 - Remix;2002 (Remix);Shaun Reynolds;05/11/18;QZ22B1944940;1136;303962;88;6796
A Thousand Years;A Thousand Years;Aldy Santos;2/27/2017;QM4DW1718219;2062;13112;5;478
Janze;Janze;Xamdam Sobirov;7/31/2023;RUA1D2384226;899;344691;77;5871
A Thousand Years;A Thousand Years;Christina Perri;10/18/2011;USAT21102141;964;1654956613;177834;80060384
April Rain in August Weather;April Rain in August Weather - Single;Baba Blakes;3/24/2023;FR96X2351551;1004;408449;38;1747
HONEY BEES;HONEY BEES - Single;Hachi;02/06/23;TCJPU2362002;2675;423395;229;2853
If You're Happy and You Know It (Clap Your Hands);Circle Time Singalong;CoComelon;06/10/22;UKP3G2004606;3514;433037;120;15324
Akher Yawm;Akher Yawm - Single;Ghaliaa;08/07/23;SGW502328333;2109;447624;133;28248
Aa;Aa;Roach Killa;9/28/2023;GBMW42301521;2963;22552299;185;2721792
AA;AA;Walker Hayes;11/19/2021;USQX92104965;4389;80899019;14613;2423704
Back to the Beat;Back to the Beat;DJ TikTok;1/28/2020;TCAEQ2022365;4293;539984;135;171397
Weekend;Weekend;Ashley Mehta;9/16/2022;SGB502250429;313;546633;253;17668
Ruper Jadu;Ruper Jadu;Alvee;05/03/22;FR96X2235010;4299;551388;109;15834
123 Song;123 Song;D Billions;10/23/2019;FR96X1996525;1214;628692;98;1491
La llama que Baila;La llama que Baila;El Reino Infantil;06/10/22;ARF062200275;508;665611;145;25771
Hasbi Rabbi;Hasbi Rabbi;Huda Sisters;11/14/2019;GBUQQ1927301;3131;693675;146;3487
Aku Sayang Tapi Kau Tak Paham;Aku Sayang Tapi Kau Tak Paham;DJ Boneng;11/15/2023;GXBAV2345718;902;716453;22;36989
Fly high to cloud nine;Fly high to cloud nine;Terry Flow;09/12/22;QZNWV2289511;4165;752826;6;15634
El Perdedor;El Perdedor;Maluma;12/19/2016;TCACU1692618;4219;783995;108;24816
Enemy - Radio Edit;NOW That's What I Call Music!, Vol. 82;Imagine Dragons;05/06/22;USUM72019717;1886;820953;204;16612
2 Balas;2 Balas;Roylimar y Royerlin;03/08/24;QZHN32468120;3159;853397;26;1657
Breakfast Challenge Song (Slowly);Breakfast Challenge Song (Slowly);SPENCE;6/22/2021;TCAFQ2131059;1781;861521;374;206771
Ride the Vibe;Ride the Vibe;NEXZ;5/20/2024;US5TA2400118;942;899456;147;2784044
Bado Badi;Bado Badi;Chahat Fateh Ali Khan;4/23/2024;GX5PW2400002;2708;901007;18;713
Spongebob;Spongebob;Dante9k;1/28/2020;QZFYZ2047242;3356;902103;800;74253
Khodni;Khodni - Single;AL SHAMI;5/16/2024;LBA132400598;2566;916695;97;384024
"Fear Song (From ""Devara Part 1"") [Tamil]";"Fear Song (From ""Devara Part 1"") [Tamil]";Anirudh Ravichander;5/19/2024;INS182401563;677;945093;63;944526
Benjamins Deli;Benjamins Deli - Single;JRitt;10/24/2023;QZTBA2358000;2389;996881;446;255703
Strip That Down (feat. Quavo);Strip That Down;Liam Payne;5/18/2017;GBUM71701628;256;1000549809;86051;18285158
Numb / Encore;Papercuts;JAY-Z;04/12/24;USWB12400678;30;1003215671;128;485454
Chantaje;Chantaje;Shakira;01/01/16;USSD11600299;646;1006124005;96248;34837159
20 Min;Luv Is Rage 2 (Deluxe);Lil Uzi Vert;11/17/2017;USAT21704166;283;1006734157;224587;27766092
Hey Brother;TRUE;Avicii;01/01/13;CH3131340084;2663;1007623089;168666;43769189
un x100to;un x100to;Grupo Frontera;4/17/2023;QM6N22311285;76;1008495696;99381;57394938
Old Town Road;Old Town Road;Lil Nas X;3/14/2019;USSM11901941;75;1010494713;127393;18652312
hey! hey!;hey! hey! - Single;TWS;06/05/24;USA2P2428743;1499;1010608;109;3531295
Not Afraid;Not Afraid;Eminem;05/03/10;USUM71011769;1612;1012914789;168108;37935827
Human;Human;Rag'n'Bone Man;7/21/2016;GBARL1600665;824;1013083048;170367;49113191
Snooze;SOS;SZA;12/09/22;USRC12204591;97;1013350808;108036;86470319
My Way;My Way;Calvin Harris;9/16/2016;GBARL1601358;2636;1014534913;132592;41964503
bury a friend;bury a friend;Billie Eilish;1/30/2019;USUM71900770;1739;1014870547;114243;30570088
If I Can't Have You;Shawn Mendes (Deluxe);Shawn Mendes;5/25/2018;USUM71907349;3007;1015502663;82046;26967760
Reminder;Starboy;The Weeknd;11/25/2016;USUG11600998;289;1015965940;125348;27076169
Don't Call Me Up;Ivy To Roses (Mixtape);Mabel;1/18/2019;GBUM71808052;1935;1016283394;103794;41086368
Latch;Settle;Disclosure;01/01/13;GBUM71302810;1933;1017438306;174201;45341736
Adventure Of A Lifetime;Adventure Of A Lifetime;Coldplay;11/06/15;GBAYE1500981;1546;1020239582;148456;30840228
Until I Found You;Until I Found You;Stephen Sanchez;09/01/21;USUG12103651;339;1020452066;169696;52678003
Until I Found You (with Em Beihold) - Em Beihold Version;Until I Found You (Em Beihold Version);Stephen Sanchez;4/22/2022;USUG12202266;986;1020452066;108274;75934462
Desesperados;VICE VERSA;Rauw Alejandro;12/10/21;USSD12100779;397;1021480638;119558;50631491
Empire State Of Mind;The Blueprint 3;JAY-Z;09/08/09;USJZ10900031;4231;1021647566;253182;78527028
Smack That - Dirty;Smack That (feat. Eminem);Akon;01/01/06;USUM70609036;3422;1023825031;204464;51055833
Get You (feat. Kali Uchis);Get You - Single;Daniel Caesar;10/21/2016;TCACR1690004;2056;1024198691;168424;41883756
TQG;TQG;KAROL G;2/23/2023;USUM72222541;80;1024381758;78554;69319589
No Guidance (feat. Drake);No Guidance (feat. Drake);Chris Brown;06/08/19;USRC11901583;724;1030515485;157003;35028641
La Bebe - Remix;La Bebe (Remix);Yng Lvcas;3/17/2023;MXF152300159;86;1032225805;94887;74469479
How You Like That;How You Like That;BLACKPINK;6/25/2020;KRA402000111;215;1033109188;8217;21177170
we fell in love in october;we fell in love in october / October Passed Me By;girl in red;01/01/18;GBKPL1828677;149;1034272727;201381;54919566
Promises (with Sam Smith);Promises (with Sam Smith);Calvin Harris;8/17/2018;GBARL1801049;1711;1036104210;12548;39427143
About Damn Time;About Damn Time;Lizzo;4/14/2022;USAT22202139;172;847025688;104052;47808065
Solo (feat. Demi Lovato);Solo (feat. Demi Lovato);Clean Bandit;5/17/2018;GBAHS1800328;1246;1042065058;114049;30877323
Aesthetic;Aesthetic;Xilo;2/14/2020;QZFZ22071847;969;27312761;9048;2060708
You Are The Reason;You Are The Reason;Calum Scott;11/17/2017;USUM71710315;937;1042531612;119883;31204776
Aesthetic;Aesthetic;Tollan Kim;03/04/22;SGB502208576;114;5712985;2311;535908
Roses;Roses;The Chainsmokers;6/16/2015;USQX91500801;227;1046848265;137023;33124854
Mirrors;Songs For The Philippines;Justin Timberlake;01/01/13;USRC11300059;1487;1047154254;168622;53352470
Perfect Strangers;Perfect Strangers;Jonas Blue;06/03/16;GBUM71602437;2664;1050246077;113716;28088689
Little Talks;Little Talks;Of Monsters and Men;01/01/11;USUM71119106;3217;1050676021;222725;53015020
Too Good;Views;Drake;4/29/2016;USCM51600088;4074;1052473730;126251;30938220
After Hours;After Hours;Kehlani;04/04/24;USAT22401034;1019;34629239;3962;55053444
After Hours;After Hours;The Weeknd;2/19/2020;USUG12000586;1424;942637026;146801;30163694
Mo Bamba;Mo Bamba;Sheck Wes;9/19/2017;QM24S1703585;1266;1056346890;198581;38436526
Bad Liar;Bad Liar;Imagine Dragons;11/06/18;USUM71816161;938;1056929910;134812;31112950
Streets;Hot Pink;Doja Cat;11/07/19;USRC11903460;686;1056939084;154003;62848076
Low (feat. T-Pain);Low;Flo Rida;11/06/07;USAT20705841;3104;1057114779;244989;91742803
favorite crime;SOUR;Olivia Rodrigo;5/21/2021;USUG12101249;1564;1058390692;1109;40458627
Toosie Slide;Toosie Slide;Drake;04/03/20;USUG12001281;505;1059262917;200623;36388485
Infinity;Feel Something;Jaymes Young;6/23/2017;USAT21700859;1138;1059940209;169454;48961048
Like I'm Gonna Lose You (feat. John Legend);Title (Deluxe);Meghan Trainor;01/09/15;USSM11408374;3457;1060255231;88246;45330466
Rain On Me (with Ariana Grande);Rain On Me (with Ariana Grande);Lady Gaga;5/22/2020;USUM72004304;951;1060378159;104647;55948663
THATS WHAT I WANT;MONTERO;Lil Nas X;9/17/2021;USSM12105732;248;1062095453;165197;75503476
Just Dance;The Fame;Lady Gaga;01/01/08;USUM70807646;3629;1062571821;183102;83157868
Say Something;Say Something;A Great Big World;11/04/13;USSM11306713;3714;1064534331;116991;57390894
Send My Love (To Your New Lover);25;Adele;11/20/2015;GBBKS1500215;2234;1064599051;89443;24441546
God is a woman;God is a woman;Ariana Grande;7/13/2018;USUM71808574;4527;1064927546;8358;36516267
Firework;Teenage Dream;Katy Perry;01/01/10;USCA21001262;1534;1065375074;16465;60511467
All of Me;Love In The Future (South Africa Tour Edition);John Legend;01/01/12;USSM11303954;487;2382407025;259202;144805002
all of me;american dream;21 Savage;01/12/24;USSM12304894;1283;87111207;2038;29657028
Middle;Middle;DJ Snake;10/16/2015;USUM71515784;3974;1068023888;136601;31036842
Alone;Black Panther: Wakanda Forever - Music From and Inspired By;Burna Boy;11/04/22;USHR12244832;2875;139783785;44303;5375418
Snow (Hey Oh);Stadium Arcadium (U.S. Version);Red Hot Chili Peppers;05/09/06;USWB10601591;4442;1070374387;203821;38556891
Dior;Meet The Woo;Pop Smoke;7/26/2019;USUM71914275;285;1070422470;294539;47391658
ZEZE (feat. Travis Scott & Offset);ZEZE (feat. Travis Scott & Offset);Kodak Black;10/12/18;USAT21811523;108;1070685587;203323;32147932
Alone;Alone;Marshmello;5/13/2016;CA6D21600147;776;561103984;80971;18764148
Wait a Minute!;ARDIPITHECUS;WILLOW;01/11/15;QMJMT1500801;2678;1081039358;220073;41752381
Midnight City;Hurry Up, We're Dreaming;M83;01/01/11;GB55H1100002;2954;1081517243;260318;54789811
Only Girl (In The World);Loud (Japan Version);Rihanna;01/01/10;USUM71023200;409;1085436198;192284;82258717
Way down We Go;Way Down We Go;KALEO;08/07/15;USAT21502122;1879;1086861259;228925;44949918
Alone;Alone;Rod Wave;08/09/22;USQX92203746;4098;64562541;14704;1868777
Alone;Alone;Alan Walker;01/01/16;NOG841617010;1667;738909649;98916;19195265
Don't You Worry Child - Radio Edit;Until Now;Swedish House Mafia;01/01/12;GBAAA1200728;4557;1088273121;203395;83814501
Ayang;Ayang;Nabila Maharani;10/05/22;IDA832108560;3233;1088915;89;29328
Freaks;Freaks;Surf Curse;5/15/2021;USAT22102269;791;1089328286;200016;33498182
idontwannabeyouanymore;dont smile at me;Billie Eilish;7/21/2017;USUM71707712;2166;1091185920;114997;28172038
Stand by Me;Don't Play That Song;Ben King;01/05/24;DETT12295003;1577;1094052047;1;3
La Curiosidad;Platonicos;Jay Wheeler;06/12/20;USUYG1313832;595;1099019265;107383;57705968
Space Song;Depression Cherry;Beach House;8/21/2015;USSUB1512203;2646;1099069598;261122;71073470
august;folklore;Taylor Swift;7/24/2020;USUG12002842;3016;1101296591;84267;76240482
Father Stretch My Hands Pt. 1;The Life Of Pablo;Kanye West;04/01/16;USUM71603067;4003;1102322992;191719;29522697
Good Days;Good Days;SZA;12/25/2020;USRC12004189;806;1105805922;164541;62561721
Firestone;Running Hits - 2015.02;Kygo;02/09/15;SEBGA1400887;1928;1106264600;144992;42832108
Moscow Mule;Un Verano Sin Ti;Bad Bunny;05/06/22;QM6MZ2214875;272;1108031580;121256;44739826
Yes Indeed;Yes Indeed;Lil Baby;5/15/2018;USUM71806749;1112;1110994645;186456;41273853
Swalla (feat. Nicki Minaj & Ty Dolla $ign);Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;2/23/2017;USWB11700237;624;1116304877;120975;28691304
